20100603000000 13351.347  3882.684 55837.375 .
20100603000001 13351.244  3882.572 55837.353 .
20100603000002 13351.134  3882.488 55837.375 .
20100603000003 13351.119  3882.469 55837.381 .
20100603000004 13351.084  3882.413 55837.347 .
20100603000005 13351.134  3882.394 55837.353 .
20100603000006 13351.164  3882.381 55837.364 .
20100603000007 13351.096  3882.397 55837.347 .
20100603000008 13351.176  3882.443 55837.360 .
20100603000009 13351.207  3882.501 55837.324 .
20100603000010 13351.255  3882.597 55837.322 .
20100603000011 13351.417  3882.735 55837.392 .
20100603000012 13351.456  3882.800 55837.355 .
20100603000013 13351.506  3882.934 55837.341 .
20100603000014 13351.504  3883.056 55837.337 .
20100603000015 13351.588  3883.156 55837.336 .
20100603000016 13351.638  3883.257 55837.369 .
20100603000017 13351.683  3883.327 55837.363 .
20100603000018 13351.683  3883.401 55837.380 .
20100603000019 13351.783  3883.512 55837.373 .
20100603000020 13351.718  3883.524 55837.356 .
20100603000021 13351.693  3883.560 55837.365 .
20100603000022 13351.661  3883.514 55837.322 .
20100603000023 13351.553  3883.493 55837.344 .
20100603000024 13351.573  3883.473 55837.354 .
20100603000025 13351.550  3883.393 55837.359 .
20100603000026 13351.419  3883.331 55837.394 .
20100603000027 13351.379  3883.246 55837.359 .
20100603000028 13351.343  3883.163 55837.334 .
20100603000029 13351.246  3883.101 55837.320 .
20100603000030 13351.152  3882.984 55837.317 .
20100603000031 13351.181  3882.936 55837.295 .
20100603000032 13351.124  3882.872 55837.310 .
20100603000033 13351.041  3882.832 55837.311 .
20100603000034 13351.033  3882.803 55837.286 .
20100603000035 13350.936  3882.774 55837.243 .
20100603000036 13350.982  3882.792 55837.261 .
20100603000037 13350.882  3882.817 55837.299 .
20100603000038 13350.908  3882.845 55837.246 .
20100603000039 13350.815  3882.815 55837.256 .
20100603000040 13350.794  3882.765 55837.311 .
20100603000041 13350.816  3882.781 55837.264 .
20100603000042 13350.834  3882.873 55837.272 .
20100603000043 13350.852  3882.911 55837.270 .
20100603000044 13350.839  3882.905 55837.278 .
20100603000045 13350.852  3882.924 55837.237 .
20100603000046 13350.858  3882.890 55837.259 .
20100603000047 13350.846  3882.806 55837.271 .
20100603000048 13350.879  3882.836 55837.284 .
20100603000049 13350.937  3882.888 55837.266 .
20100603000050 13350.971  3882.882 55837.263 .
20100603000051 13350.963  3882.916 55837.233 .
20100603000052 13350.913  3882.915 55837.227 .
20100603000053 13350.927  3882.892 55837.257 .
20100603000054 13350.867  3882.934 55837.235 .
20100603000055 13350.874  3882.890 55837.213 .
20100603000056 13350.830  3882.950 55837.191 .
20100603000057 13350.857  3882.946 55837.233 .
20100603000058 13350.821  3882.903 55837.248 .
20100603000059 13350.781  3882.871 55837.237 .
20100603000100 13350.748  3882.853 55837.241 .
20100603000101 13350.699  3882.782 55837.205 .
20100603000102 13350.695  3882.724 55837.213 .
20100603000103 13350.696  3882.683 55837.238 .
20100603000104 13350.739  3882.715 55837.203 .
20100603000105 13350.728  3882.662 55837.247 .
20100603000106 13350.688  3882.624 55837.238 .
20100603000107 13350.732  3882.598 55837.195 .
20100603000108 13350.754  3882.653 55837.194 .
20100603000109 13350.716  3882.664 55837.176 .
20100603000110 13350.796  3882.765 55837.183 .
20100603000111 13350.749  3882.815 55837.207 .
20100603000112 13350.692  3882.832 55837.197 .
20100603000113 13350.752  3882.863 55837.193 .
20100603000114 13350.728  3882.939 55837.190 .
20100603000115 13350.690  3882.962 55837.171 .
20100603000116 13350.659  3882.981 55837.206 .
